university,university-href,col-list,col-list-href,College Name,College Category,Approved By,College Code,Affiliated University,Established Year,College Type,Institution Type,Address,Pin Code,Location,District,Contact Number 1,Contact Number 2,Courses
"Anna University - Tirunelveli","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/5/Anna-University-Tirunelveli-Affiliated-Colleges.html","Thiagarajar College of Engineering, Madurai","http://www.colleges-in-tamilnadu.com/colleges/1012/Thiagarajar-College-of-Engineering.html","Thiagarajar College of Engineering","Engineering","AICTE","4008","Anna University - Tirunelveli","1957","Co-Education","Aided","Thiagarajar College of Engineering,

Tiruparankundram,

Madurai.","625 015","Madurai","Madurai","0452 -2482240","0452 -2482430","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» B.Arch. - Architecture""},{""Courses"":""» M.Sc. - Applied Chemistry""},{""Courses"":""» M.Sc. - Materials Science""},{""Courses"":""» M.E. - Communication Systems""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.E. - Control & Instrumentation Engineering""},{""Courses"":""» M.E. - Environmental Engineering""},{""Courses"":""» M.E. - Industrial Engineering""},{""Courses"":""» M.E. - Power Systems Engineering""},{""Courses"":""» M.E. - Production Engineering""},{""Courses"":""» M.E. - Structural Engineering""},{""Courses"":""» M.E. - Wireless Technology""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","St. Grace Lilian College of Education, Salem","http://www.colleges-in-tamilnadu.com/colleges/2779/St-Grace-Lilian-College-of-Education.html","St. Grace Lilian College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","St. Grace Lilian College of Education

Thathanoor (Via)

Poovanoor Post

Paruthikadu

Salem","636 122","Salem","Salem","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sri Saraswathi College of Education, Udayarpalayam, Perambalur","http://www.colleges-in-tamilnadu.com/colleges/2720/Sri-Saraswathi-College-of-Education.html","Sri Saraswathi College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Sri Saraswathi College of Education

Chidambaram Road

Thularankurichy

Udayarpalayam","621 804","Udayarpalayam","Perambalur","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Kennedy College of Education, Vaniyambadi, Vellore","http://www.colleges-in-tamilnadu.com/colleges/2212/Kennedy-College-of-Education.html","Kennedy College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Kennedy College of Education

Bangalore Road

S.N. Palayam

Agaramcheri

Vaniyambadi","635 804","Vaniyambadi","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Madurai Kamaraj University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/12/Madurai-Kamaraj-University-Affiliated-Colleges.html","A.P.A. College of Arts and Culture, Palani, Dindigul","http://www.colleges-in-tamilnadu.com/colleges/5/A-P-A-College-of-Arts-and-Culture.html","A.P.A. College of Arts and Culture","Arts & Science","null","null","Madurai Kamaraj University","1963","Co-Education","Aided","A.P.A. College of Arts and Culture

Palani","624 602","Palani","Dindigul","251 288","null","[{""Courses"":""» B.Sc. - Botany""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.A. - Economics""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» B.A. - Indian Culture""},{""Courses"":""» B.A. - Tamil""},{""Courses"":""» M.Sc. - Botany""},{""Courses"":""» M.Sc. - Chemistry""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Sc. - Zoology""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.Com. - Computer Applications""},{""Courses"":""» M.A. - Economics""},{""Courses"":""» M.A. - English""},{""Courses"":""» M.A. - History""},{""Courses"":""» M.A. - Tamil""},{""Courses"":""» M.Phil. - Tamil""}]"
"Bharathidasan University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/8/Bharathidasan-University-Affiliated-Colleges.html","D.G. Govt. Arts College for Women, Nagapattinam","http://www.colleges-in-tamilnadu.com/colleges/99/D-G-Govt-Arts-College-for-Women.html","D.G. Govt. Arts College for Women","Arts & Science","NAAC","null","Bharathidasan University","1967","Womens","Government","D.G. Govt. Arts College for Women

Dharmapuram Road

Mayiladuthurai

Nagapattinam","609 001","Nagapattinam","Nagapattinam","null","null","[{""Courses"":""» B.Sc. - Bio-Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.A. - Economics""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» B.A. - Tamil""},{""Courses"":""» M.A. - Applied Economics""},{""Courses"":""» M.A. - History""},{""Courses"":""» M.A. - Tamil""},{""Courses"":""» M.Phil. - History""}]"
"University of Madras","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/26/University-of-Madras-Affiliated-Colleges.html","Meenakshi Ammal Arts and Science College for Women, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/277/Meenakshi-Ammal-Arts-and-Science-College-for-Women.html","Meenakshi Ammal Arts and Science College for Women","Arts & Science","null","null","University of Madras","2001","Womens","Self Finance","Meenakshi Ammal Arts and Science College for Women

Uthiramerur,Kanchipuram.","603 406","Kanchipuram","Kanchipuram","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.C.A. - Computer Application""}]"
"Anna University - Trichy","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/4/Anna-University-Trichy-Affiliated-Colleges.html","M.A.M. School of Engineering, Trichy","http://www.colleges-in-tamilnadu.com/colleges/771/M-A-M-School-of-Engineering.html","M.A.M. School of Engineering","Engineering","null","3786","Anna University - Trichy","2010","Co-Education","Self Finance","M.A.M School of Engineering

Trichy-Chennai Trunk Road, 

Siruganur,

Tiruchirappalli.","621 105","Trichy","Trichy","9487786055","null","[{""Courses"":""» B.E. - Aeronautical Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Anna University - Coimbatore","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/3/Anna-University-Coimbatore-Affiliated-Colleges.html","Muthayammal Engineering College, Rasipuram, Namakkal","http://www.colleges-in-tamilnadu.com/colleges/767/Muthayammal-Engineering-College.html","Muthayammal Engineering College","Engineering","AICTE,NBA","null","Anna University - Coimbatore","2000","Co-Education","Self Finance","Muthayammal Engineering College,

Kakkaveri post,

Rasipuram,

Namakkal.","637 408","Rasipuram","Namakkal","04287 - 220837","04287 - 226837","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Electronics And Instrumentation Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.E. - Power Electronics and Drives""},{""Courses"":""» M.E. - VLSI Design""},{""Courses"":""» M.C.A. - Computer Application""},{""Courses"":""» M.B.A. - Business Administration""},{""Courses"":""» Ph.D. - Computer Science and Engineering""},{""Courses"":""» Ph.D. - Electronics and Communication Engineering""},{""Courses"":""» Ph.D. - Management Studies""}]"
"Manonmaniam Sundaranar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/13/Manonmaniam-Sundaranar-University-Affiliated-Colleges.html","G.V.N. College, Tuticorin","http://www.colleges-in-tamilnadu.com/colleges/159/G-V-N-College.html","G.V.N. College","Arts & Science","null","null","Manonmaniam Sundaranar University","1966","Co-Education","Self Finance","G.V.N. College

Kovilpatti","628 502","Tuticorin","Tuticorin","null","null","[{""Courses"":""» B.Sc. - Bio-Technology""},{""Courses"":""» B.Sc. - Botany""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Electronics""},{""Courses"":""» B.Sc. - Fashion Technology""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Textile & Fashion Designing""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Information Technology""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» P.G.D.C.A - Computer Applications""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","S.T. Hindu College, Nagercoil, Kanyakumari","http://www.colleges-in-tamilnadu.com/colleges/2523/S-T-Hindu-College.html","S.T. Hindu College","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","S.T. Hindu College

Desigavinayagar Nagar

Kothar

Nagercoil","629 002","Nagercoil","Kanyakumari","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sri Thiyagaraja Institute of Teacher Education, Tiruvarur","http://www.colleges-in-tamilnadu.com/colleges/2734/Sri-Thiyagaraja-Institute-of-Teacher-Education.html","Sri Thiyagaraja Institute of Teacher Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2006","Co-Education","Self Finance","Sri Thiyagaraja Institute of Teacher Education

No.15 - B, Bigmill Street

Vijayapuram

Tiruvarur","610 001","Tiruvarur","Tiruvarur","null","null","[{""Courses"":""» D.T.Ed. - Dip. in Teacher Education""}]"
"Periyar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/15/Periyar-University-Affiliated-Colleges.html","Don Bosco College, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/110/Don-Bosco-College.html","Don Bosco College","Arts & Science","null","null","Periyar University","null","Co-Education","Self Finance","Don Bosco College

Pappanahalli

Sogathur (P.O)

Dharmapuri","","Dharmapuri","Dharmapuri","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Com. - Computer Application""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""}]"
"Manonmaniam Sundaranar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/13/Manonmaniam-Sundaranar-University-Affiliated-Colleges.html","The M.D.T. Hindu College, Tirunelveli","http://www.colleges-in-tamilnadu.com/colleges/504/The-M-D-T-Hindu-College.html","The M.D.T. Hindu College","Arts & Science","null","null","Manonmaniam Sundaranar University","1878","Co-Education","Self Finance","The M.D.T. Hindu College

Pettai

Tirunelveli","627 010","Tirunelveli","Tirunelveli","null","null","[{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physical Education""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.A. - Economics""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Com. - (Regular)""},{""Courses"":""» M.A. - Economics""},{""Courses"":""» M.A. - Tamil""},{""Courses"":""» Ph.D. - Tamil""},{""Courses"":""» M.Phil. - Tamil""}]"
"Tiruvalluvar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/25/Tiruvalluvar-University-Affiliated-Colleges.html","Krishnasamy College of Science, Arts and Management for Women, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/226/Krishnasamy-College-of-Science-Arts-and-Management-for-Women.html","Krishnasamy College of Science, Arts and Management for Women","Arts & Science","null","null","Tiruvalluvar University","null","Womens","Self Finance","Krishnasamy College of Science, Arts and Management for Women

S. Kumarpuram Village

Cuddalore","","Cuddalore","Cuddalore","null","null","[]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Annammal College of Education for Women, Tuticorin","http://www.colleges-in-tamilnadu.com/colleges/1842/Annammal-College-of-Education-for-Women.html","Annammal College of Education for Women","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2001","Womens","Self Finance","Annammal College of Education for Women

Tiruchendur Road

Tuticorin","628 002","Tuticorin","Tuticorin","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Saraswathi Velu College of Engineering, Vellore","http://www.colleges-in-tamilnadu.com/colleges/928/Saraswathi-Velu-College-of-Engineering.html","Saraswathi Velu College of Engineering","Engineering","AICTE","1515","Anna University","2001","Co-Education","Self Finance","Saraswathi Velu College of Engineering,

Jambukulam Road,

Melvenkatapuram (Vill),

Katrambakkam Post,

Walajah,

Vellore.","631 102","Vellore","Vellore","04172-291515","04172-291516","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Dr. M.G.R. Medical University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/18/Tamil-Nadu-Dr-M-G-R-Medical-University-Affiliated-Colleges.html","National Institute of Siddha, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1649/National-Institute-of-Siddha.html","National Institute of Siddha","Siddha","null","null","Tamil Nadu Dr. M.G.R. Medical University","2004","Co-Education","Self Finance","National Institute of Siddha

Tambaram

Chennai","600 106","Chennai","Chennai","null","null","[{""Courses"":""» M.D. (Siddha) - Gunapadam""},{""Courses"":""» M.D. (Siddha) - Kuzanthai Maruthuvam""},{""Courses"":""» M.D. (Siddha) - Maruthuvam""},{""Courses"":""» M.D. (Siddha) - Noi Nadal""},{""Courses"":""» M.D. (Siddha) - Sirappu Maruthuvam""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Kootalumoodu Arulmigu Bhadreswari College of Education, Kanyakumari","http://www.colleges-in-tamilnadu.com/colleges/2227/Kootalumoodu-Arulmigu-Bhadreswari-College-of-Education.html","Kootalumoodu Arulmigu Bhadreswari College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Kootalumoodu Arulmigu Bhadreswari College of Education

Painkulum

Kanyakumari","629 188","Kanyakumari","Kanyakumari","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","University Departments of Anna University Chennai, CEG Campus, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1037/University-Departments-of-Anna-University-Chennai-CEG-Campus.html","University Departments of Anna University Chennai, CEG Campus","Engineering","AICTE","1001","Anna University","1859","Co-Education","Government","University Departments of Anna University Chennai, CEG Campus,

College of Engineering,

Sardar Patel Road,

Guindy,

Saidapet,

Chennai.","600 025","Chennai","Chennai","04422203200","null","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Agriculture and Irrigation Engineering""},{""Courses"":""» B.E. - Bio-Medical Engineering""},{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Civil Engineering - Tamil Medium""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Geo Informatics""},{""Courses"":""» B.E. - Industrial Engineering""},{""Courses"":""» B.E. - Manufacturing Engineering""},{""Courses"":""» B.E. - Material Science and Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» B.E. - Mechanical Engineering - Tamil Medium""},{""Courses"":""» B.E. - Mining Engineering""},{""Courses"":""» B.E. - Printing Technology""},{""Courses"":""» M.Tech. - Bio-Medical Engineering""},{""Courses"":""» M.Tech. - Costal Management""},{""Courses"":""» M.Tech. - Information Technology""},{""Courses"":""» M.Tech. - Nano Science and Technology""},{""Courses"":""» M.Tech. - Polymer Science and Engineering""},{""Courses"":""» M.Tech. - Remote Sensing""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - Communication Systems""},{""Courses"":""» M.E. - Computer Aided Design""},{""Courses"":""» M.E. - Computer Integrated Manufacturing""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.E. - Construction Engineering and Management""},{""Courses"":""» M.E. - Control & Instrumentation Engineering""},{""Courses"":""» M.E. - Embedded Systems Technology""},{""Courses"":""» M.E. - Energy Engineering""},{""Courses"":""» M.E. - Engineering Design""},{""Courses"":""» M.E. - Environmental Engineering""},{""Courses"":""» M.E. - Environmental Management""},{""Courses"":""» M.E. - Geo-Informatics""},{""Courses"":""» M.E. - High Voltage Engineering""},{""Courses"":""» M.E. - Hydrology and Water Resources Engineering""},{""Courses"":""» M.E. - Industrial Engineering""},{""Courses"":""» M.E. - Internal Combustion Engineering""},{""Courses"":""» M.E. - Irrigation Water Management""},{""Courses"":""» M.E. - Manufacturing System & Management""},{""Courses"":""» M.E. - Medical Electronics""},{""Courses"":""» M.E. - Multimedia Technology""},{""Courses"":""» M.E. - Optical Communication Engineering""},{""Courses"":""» M.E. - Power Electronics and Drives""},{""Courses"":""» M.E. - Power Systems Engineering""},{""Courses"":""» M.E. - Printing Technology""},{""Courses"":""» M.E. - Product Design and Development""},{""Courses"":""» M.E. - Quality Engineering and Management""},{""Courses"":""» M.E. - Refrigeration & Air Conditioning""},{""Courses"":""» M.E. - Software Engineering""},{""Courses"":""» M.E. - Soil Mechanics and Foundation Engineering""},{""Courses"":""» M.E. - Structural Engineering""},{""Courses"":""» M.E. - System Engineering & Operation Research""},{""Courses"":""» M.E. - Urban Engineering""},{""Courses"":""» M.E. - VLSI Design""}]"
"Deemed University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/27/Deemed-University-Affiliated-Colleges.html","SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya), Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/2559/SCSVMV-University-Sri-Chandrasekharendra-Saraswathi-Viswa-Mahavidyalaya.html","SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya)","Teacher Education","null","null","Deemed University","null","Co-Education","Self Finance","SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya)

Enathur (P.O)

Kanchipuram","631 561","Kanchipuram","Kanchipuram","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
"Alagappa University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/1/Alagappa-University-Affiliated-Colleges.html","Alagappa Govt. Arts College, Karaikudi, Sivagangai","http://www.colleges-in-tamilnadu.com/colleges/30/Alagappa-Govt-Arts-College.html","Alagappa Govt. Arts College","Arts & Science","null","null","Alagappa University","1947","Co-Education","Government","Alagappa Govt. Arts College

Karaikudi","630 003","Karaikudi","Sivagangai","null","null","[{""Courses"":""» B.Sc. - Botany""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Geography""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - Economics""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» B.A. - Tamil""}]"
"Bharathiyar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/7/Bharathiyar-University-Affiliated-Colleges.html","Nandha Arts and Science College, Erode","http://www.colleges-in-tamilnadu.com/colleges/296/Nandha-Arts-and-Science-College.html","Nandha Arts and Science College","Arts & Science","null","null","Bharathiyar University","2000","Co-Education","Self Finance","Nandha Arts and Science College

Koorapalayam Pirivu

Perundurai Road

Pitchandampalayam (P.O)

Erode","638 052","Erode","Erode","null","null","[{""Courses"":""» B.Sc. - Bio-Technology""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Costume Design & Fashion""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.Com. - Computer Application""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.M. - Business Management""},{""Courses"":""» B.A. - English""},{""Courses"":""» M.Sc. - Bio-Technology""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Sc. - Physics""},{""Courses"":""» M.Com. - Computer Applications""}]"
"Anna University - Trichy","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/4/Anna-University-Trichy-Affiliated-Colleges.html","Mahath Amma Institute of Engineering and Technology, Illupur, Pudukottai","http://www.colleges-in-tamilnadu.com/colleges/790/Mahath-Amma-Institute-of-Engineering-and-Technology.html","Mahath Amma Institute of Engineering and Technology","Engineering","AICTE","3854","Anna University - Trichy","2009","Co-Education","Self Finance","Mahath Amma Institute of Engineering and Technology,

Ariyur, 

Annavasal Road,

Mathianallur,

Illupur,

Pudukkottai.","622 101","Illupur","Pudukottai","04339230308","null","[{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Arcot Sri Mahaalakshmi Womens College of Education, Vellore","http://www.colleges-in-tamilnadu.com/colleges/1846/Arcot-Sri-Mahaalakshmi-Womens-College-of-Education.html","Arcot Sri Mahaalakshmi Womens College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2005","Womens","Self Finance","Arcot Sri Mahaalakshmi Womens College of Education

Arani Main Road

Villapakkam

Vellore","632 521","Vellore","Vellore","null","null","[{""Courses"":""» B.Ed. - Education""},{""Courses"":""» M.Ed. - Education""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","H.T.P. College of Education, Attur, Salem","http://www.colleges-in-tamilnadu.com/colleges/2052/H-T-P-College-of-Education.html","H.T.P. College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","H.T.P. College of Education

No.188-B, Kadalur Main Road

Ammampalayam Post

Attur","636 141","Attur","Salem","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Bharathidasan University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/8/Bharathidasan-University-Affiliated-Colleges.html","Dharmambal Ramasamy Arts and Science College, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/108/Dharmambal-Ramasamy-Arts-and-Science-College.html","Dharmambal Ramasamy Arts and Science College","Arts & Science","null","null","Bharathidasan University","null","Co-Education","Self Finance","Dharmambal Ramasamy Arts and Science College

Orathanadu Taluk

Thanjavur","614 625","Thanjavur","Thanjavur","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» M.Sc. - Information Technology""}]"
"Madurai Kamaraj University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/12/Madurai-Kamaraj-University-Affiliated-Colleges.html","Mangayarkarasi Arts and Science College for Women, Madurai","http://www.colleges-in-tamilnadu.com/colleges/269/Mangayarkarasi-Arts-and-Science-College-for-Women.html","Mangayarkarasi Arts and Science College for Women","Arts & Science","null","null","Madurai Kamaraj University","1997","Womens","Self Finance","Mangayarkarasi Arts and Science College for Women

Paravai

Madurai","625 402","Madurai","Madurai","null","null","[{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.Com. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Information Technology""},{""Courses"":""» M.Com. - Computer Applications""}]"
