university,university-href,col-list,col-list-href,College Name,College Category,Approved By,College Code,Affiliated University,Established Year,College Type,Institution Type,Address,Pin Code,Location,District,Contact Number 1,Contact Number 2,Courses
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Kongunaadu College of Education for Women, Mamangam, Salem","http://www.colleges-in-tamilnadu.com/colleges/2222/Kongunaadu-College-of-Education-for-Women.html","Kongunaadu College of Education for Women","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2007","Womens","Self Finance","Kongunaadu College of Education for Women

Mamangam","636 302","Mamangam","Salem","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Periyar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/15/Periyar-University-Affiliated-Colleges.html","P.M.P. College of Arts and Science, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/321/P-M-P-College-of-Arts-and-Science.html","P.M.P. College of Arts and Science","Arts & Science","null","null","Periyar University","1999","Co-Education","Self Finance","P.M.P. College of Arts and Science

A.H. Road

Thokkampatti (P.O)

Dharmapuri","636 705","Dharmapuri","Dharmapuri","null","null","[{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.Com. - Computer Application""},{""Courses"":""» B.C.A. - Computer Application""},{""Courses"":""» B.B.A. - Business Administration""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - Tamil""},{""Courses"":""» M.Sc. - Computer Science""},{""Courses"":""» M.Sc. - Mathematics""},{""Courses"":""» M.Com. - (Regular)""}]"
"Periyar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/15/Periyar-University-Affiliated-Colleges.html","Periyar University College of Arts and Science, Harur, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/315/Periyar-University-College-of-Arts-and-Science.html","Periyar University College of Arts and Science","Arts & Science","null","null","Periyar University","2005","Co-Education","Government","Periyar University College of Arts and Science,

Harur,

Dharmapuri.","636 903","Harur","Dharmapuri","04346-222212","9842726987","[{""Courses"":""» B.Sc. - Botany""},{""Courses"":""» B.Sc. - Computer Science""},{""Courses"":""» B.Com. - (Regular)""},{""Courses"":""» B.A. - English""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Surya College of Engineering and Technology, Villupuram","http://www.colleges-in-tamilnadu.com/colleges/1006/Surya-College-of-Engineering-and-Technology.html","Surya College of Engineering and Technology","Engineering","AICTE","1434","Anna University","2008","Co-Education","Self Finance","Surya College of Engineering and Technology,

Chennai-Villupuram,

GST Road,

Vikravandi,

Villupuram.","605 652","Villupuram","Villupuram","04146263166","04146263122","[{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Jai Sai B.Ed. College of Education, Trichy","http://www.colleges-in-tamilnadu.com/colleges/2103/Jai-Sai-B-Ed-College-of-Education.html","null","null","null","null","null","null","null","null","null","null","null","null","null","null","[]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sri Viruthambigai College of Education, Virudhachalam, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/2766/Sri-Viruthambigai-College-of-Education.html","Sri Viruthambigai College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Sri Viruthambigai College of Education

Cuddalore Main Road

Opp. to Kuppanatham Post

Virudhachalam","606 001","Virudhachalam","Cuddalore","null","null","[{""Courses"":""» B.Ed. - Education""}]"
"Manonmaniam Sundaranar University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/13/Manonmaniam-Sundaranar-University-Affiliated-Colleges.html","Lakshmipuram College of Arts and Science, Kanyakumari","http://www.colleges-in-tamilnadu.com/colleges/234/Lakshmipuram-College-of-Arts-and-Science.html","Lakshmipuram College of Arts and Science","Arts & Science","NAAC","null","Manonmaniam Sundaranar University","1964","Co-Education","Self Finance","Lakshmipuram College of Arts and Science

Lekshmipuram

Mondaikadu (Via)

Kanyakumari","629 802","Kanyakumari","Kanyakumari","null","null","[{""Courses"":""» B.Sc. - Bio-Chemistry""},{""Courses"":""» B.Sc. - Chemistry""},{""Courses"":""» B.Sc. - Electronics""},{""Courses"":""» B.Sc. - Information Technology""},{""Courses"":""» B.Sc. - Mathematics""},{""Courses"":""» B.Sc. - Physics""},{""Courses"":""» B.Sc. - Textile & Fashion Designing""},{""Courses"":""» B.Sc. - Zoology""},{""Courses"":""» B.A. - English""},{""Courses"":""» B.A. - History""},{""Courses"":""» B.A. - Tamil""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Sri Muthukumaran Institute of Technology, Chennai","http://www.colleges-in-tamilnadu.com/colleges/970/Sri-Muthukumaran-Institute-of-Technology.html","Sri Muthukumaran Institute of Technology","Engineering","AICTE","1218","Anna University","1996","Co-Education","Self Finance","Sri Muthukumaran Institute of Technology,

Chakkarayapuram,

Kundrathur Road,

Near Mangadu,

Chennai.","600 069","Chennai","Chennai","044-24780002","044-24780003","[{""Courses"":""» B.Tech. - Information Technology""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - Computer Aided Design""},{""Courses"":""» M.E. - Computer Science and Engineering""}]"
"Anna University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/2/Anna-University-Affiliated-Colleges.html","Dhaanish Ahmed College of Engineering, Padappai, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/635/Dhaanish-Ahmed-College-of-Engineering.html","Dhaanish Ahmed College of Engineering","Engineering","AICTE","1424","Anna University","2002","Co-Education","Self Finance","Dhaanish Ahmed College of Engineering

Dhaanish Nagar(Near Tambaram),

Padappai post,

Vanchuvancheri village,

sriperumbudur,","601 301","Padappai","Kanchipuram","044 - 71736800","044 - 71736833","[{""Courses"":""» B.Tech. - Petroleum Engineering""},{""Courses"":""» B.E. - Civil Engineering""},{""Courses"":""» B.E. - Computer Science and Engineering""},{""Courses"":""» B.E. - Electrical and Electronics Engineering""},{""Courses"":""» B.E. - Electronics and Communication Engineering""},{""Courses"":""» B.E. - Mechanical Engineering""},{""Courses"":""» M.E. - Applied Electronics""},{""Courses"":""» M.E. - Computer Science and Engineering""},{""Courses"":""» M.B.A. - Business Administration""}]"
"Tamil Nadu Teachers Education University","http://www.colleges-in-tamilnadu.com/Universities-in-Tamilnadu/21/Tamil-Nadu-Teachers-Education-University-Affiliated-Colleges.html","Sri Vijay Vidhyalaya College of Education, Dharmapuri","http://www.colleges-in-tamilnadu.com/colleges/2762/Sri-Vijay-Vidhyalaya-College-of-Education.html","Sri Vijay Vidhyalaya College of Education","Teacher Education","NCTE","null","Tamil Nadu Teachers Education University","2008","Co-Education","Self Finance","Sri Vijay Vidhyalaya College of Education

Gandhi Nagar

Dharmapuri","636 701","Dharmapuri","Dharmapuri","null","null","[{""Courses"":""» B.Ed. - Education""}]"
