poly,poly-href,col-list,col-list-href,CollegeName,CollegeCategory,ApprovedBy,CollegeCode,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses,pagination,pagination-href
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Valivalam Desikar Polytechnic College, Nagapatinam, Nagapattinam","http://www.colleges-in-tamilnadu.com/colleges/1432/Valivalam-Desikar-Polytechnic-College.html","Valivalam Desikar Polytechnic College","Polytechnic","AICTE","219","1958","Co-Education","Aided","Valivalam Desikar Polytechnic College

Nagapattinam To Nagore Road

Nagapattinam","611 003","Nagapatinam","Nagapattinam","250 167","250 571","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics (Robotics)""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Information Technology""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering (Refrigeration and Ac)""}]","V","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/V/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Shanmugha Polytechnic College, Thirumalaisamudram, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/1323/Shanmugha-Polytechnic-College.html","Shanmugha Polytechnic College","Polytechnic","AICTE","333","1984","Co-Education","Self Finance","Shanmugha Polytechnic College

Sastra Campus

Thirumalaisamudram East

Thirumalaisamudram","613 401","Thirumalaisamudram","Thanjavur","null","null","[{""Courses"":""» Dip. in - Automobile Engineering""},{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Tamilnadu Polytechnic College, Madurai","http://www.colleges-in-tamilnadu.com/colleges/1398/Tamilnadu-Polytechnic-College.html","Tamilnadu Polytechnic College","Polytechnic","AICTE","116","1947","Co-Education","Government","Tamilnadu Polytechnic College

TPK Road

Jaihindpuram

Madurai","625 011","Madurai","Madurai","2673 631","2671 761","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Plastic Technology""},{""Courses"":""» Dip. in - Polymer Technology""},{""Courses"":""» Dip. in - Production Engineering""}]","T","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/T/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Annai Velankkani Polytechnic College, Panruti, Cuddalore","http://www.colleges-in-tamilnadu.com/colleges/1104/Annai-Velankkani-Polytechnic-College.html","Annai Velankkani Polytechnic College","Polytechnic","AICTE","371","1986","Co-Education","Self Finance","Annai Velankkani Polytechnic College

Anguchettipalayam

Siruvathur PO

Panruti","607 106","Panruti","Cuddalore","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","A","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/A/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Institute of Road Transport Polytechnic College, Tambaram, Chennai","http://www.colleges-in-tamilnadu.com/colleges/1181/Institute-of-Road-Transport-Polytechnic-College.html","Institute of Road Transport Polytechnic College","Polytechnic","AICTE","378","1992","Co-Education","Self Finance","Institute of Road Transport Polytechnic College, Chennai

Bharthamatha Street

Bharathipuram

Nemilichery

Chromepeti

Tambaram","600 044","Tambaram","Chennai","null","null","[{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""}]","I","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/I/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Bharathiars Centenary Memorial Girls Polytechnic College, Tuticorin","http://www.colleges-in-tamilnadu.com/colleges/1116/Bharathiars-Centenary-Memorial-Girls-Polytechnic-College.html","null","null","null","null","null","null","null","null","null","null","null","null","null","[]","B","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/B/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","S.R.M. Polytechnic College, Kattankulathur, Kanchipuram","http://www.colleges-in-tamilnadu.com/colleges/1310/S-R-M-Polytechnic-College.html","S.R.M. Polytechnic College","Polytechnic","AICTE","504","1996","Co-Education","Self Finance","S.R.M. Polytechnic College

SRM Nagar

Potheri

Kattankulathur","603 203","Kattankulathur","Kanchipuram","null","null","[{""Courses"":""» Dip. in - Automobile Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","S","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/S/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","FX Polytechnic College, Palaymkottai, Tirunelveli","http://www.colleges-in-tamilnadu.com/colleges/1149/FX-Polytechnic-College.html","FX Polytechnic College","Polytechnic","AICTE","580","2006","Co-Education","Self Finance","FX Polytechnic College

Ambai Road

Tharuvai

Palaymkottai","627 356","Palaymkottai","Tirunelveli","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""},{""Courses"":""» Dip. in - Production Engineering""}]","F","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/F/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Periyar Centenary Girl's Polytechnic College, Vallam, Thanjavur","http://www.colleges-in-tamilnadu.com/colleges/1256/Periyar-Centenary-Girls-Polytechnic-College.html","null","null","null","null","null","null","null","null","null","null","null","null","null","[]","P","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/P/Polytechnic-Colleges-in-TamilNadu.html"
"Polytechnic Colleges","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/Polytechnic-Colleges-in-TamilNadu.html","Naga Siva Polytechnic College, Madurai","http://www.colleges-in-tamilnadu.com/colleges/1242/Naga-Siva-Polytechnic-College.html","Naga Siva Polytechnic College","Polytechnic","null","593","2007","Co-Education","Self Finance","Naga Siva Polytechnic College

Nedungulam

Virathanoor

Madurai","625 009","Madurai","Madurai","null","null","[{""Courses"":""» Dip. in - Civil Engineering""},{""Courses"":""» Dip. in - Computer Engineering""},{""Courses"":""» Dip. in - Electrical and Electronics Engineering""},{""Courses"":""» Dip. in - Electronics and Communication Engineering""},{""Courses"":""» Dip. in - Mechanical Engineering""}]","N","http://www.colleges-in-tamilnadu.com/Polytechnic-Colleges/N/Polytechnic-Colleges-in-TamilNadu.html"
