_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
832,Kaveripakkam Arts and Science College,Tiruvalluvar University,"Kaveripakkam Arts and Science College, Kaveripakkam, Vellore",Arts & Science,null,null,Tiruvalluvar University,null,Co-Education,Self Finance,"Kaveripakkam Arts and Science College

Thiruparkadal Road

Arthipatu Panchayat

Kaveripakkam",632 508,Kaveripakkam,Vellore,null,null,"B.Sc. - Chemistry,B.Sc. - Mathematics,B.Sc. - Microbiology,B.Com. - (Regular),B.C.A. - Computer Application,B.B.A. - Business Administration,B.A. - Tamil"
833,Avinashilingam University for Women (Avinashilingam Institute for Home Science and Higher Education for Women),Tamil Nadu Teachers Education University,"Avinashilingam University for Women (Avinashilingam Institute for Home Science and Higher Education for Women), Coimbatore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2001,Co-Education,Self Finance,"Avinashilingam University for Women 

Avinashilingam Institute for Home Science and Higher Education for Women)

Coimbatore",641 043,Coimbatore,Coimbatore,null,null,"B.Ed. - Education,M.Ed. - Education"
834,Sri Venkateswara Dental College and Hospital,Tamil Nadu Dr. M.G.R. Medical University,"Sri Venkateswara Dental College and Hospital, Chennai, Kanchipuram",Dental,DCI,null,Tamil Nadu Dr. M.G.R. Medical University,2007,Co-Education,Self Finance,"Sri Venkateswara Dental College and Hospital

Thalambur

Off. OMR Road

Chennai

Kanchipuram",603 103,Chennai,Kanchipuram,044 - 2743 5061,044 -2743 5060,B.D.S. - Dental Surgery
835,P.P.G. College of Physiotherapy,Tamil Nadu Dr. M.G.R. Medical University,"P.P.G. College of Physiotherapy, Coimbatore",Physiotherapy,null,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"P.P.G. College of Physiotherapy

No.9/1, Keeranatham Road

Saravanampatty

Coimbatore",641 035,Coimbatore,Coimbatore,null,null,"B.P.T. - Physiotherapy,M.P.T. - Advanced P.T. in Cardio Pulmonary Diseases,M.P.T. - Advanced P.T. in Neurology,M.P.T. - Advanced P.T. in Orthopaedics"
836,Meenakshi Ramaswamy Engineering College,Anna University,"Meenakshi Ramaswamy Engineering College, Udayarpalayam, Ariyalur",Engineering,null,3857,Anna University,2009,Co-Education,Self Finance,"Meenakshi Ramaswamy Engineering College,

63, Vellalar Street,

Trichy Main Road,

Mr Kalvi Nagar,

Thathanur,

Udayarpalayam,

Ariyalur.",621 804,Udayarpalayam,Ariyalur,04331-245492,04331-245802,"B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
837,Agricultural Engineering College & Research Institute,Deemed University,"Agricultural Engineering College & Research Institute, Coimbatore",Engineering,null,null,Deemed University,1972,Co-Education,Government,"Agricultural Engineering College & Research Institute,

Tamil Nadu Agricultural University,

Lalwley Road,

Coimbatore.",641 003,Coimbatore,Coimbatore,0422-6611253,0422- 6611200,B.Tech. - Food Technology
838,A.M. Jain College (Men),University of Madras,"A.M. Jain College (Men), Chennai",Arts & Science,NAAC,null,University of Madras,1952,Mens,Aided,"A.M. Jain College (Men)

Meenambakkam

Chennai",600 114,Chennai,Chennai,"2232 1705, 2232 0237",2232 0237,"B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Information Technology,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Visual Communication,B.Lit. - English,B.Com. - (Regular),B.Com. - Corporate Secretaryship,B.C.S. - Corporate Secretaryship,B.C.A. - Computer Application,B.B.A. - Business Administration,B.A. - Economics,M.Sc. - Chemistry,M.Sc. - Information Technology,M.Sc. - Mathematics,M.Sc. - Physics,M.Com. - (Regular),M.A. - Economics,Ph.D. - Economics,Ph.D. - Physics,M.Phil. - Economics,M.Phil. - Mathematics,M.Phil. - Physics"
839,J.J. College of Arts & Science,Bharathidasan University,"J.J. College of Arts & Science, Pudukkottai, Pudukottai",Arts & Science,NAAC,null,Bharathidasan University,null,Co-Education,Self Finance,"J.J. College of Arts & Science,

Pudukkottai,

Trichy .",622 404,Pudukkottai,Pudukottai,null,null,[
840,Shree Valli College of Education,Tamil Nadu Teachers Education University,"Shree Valli College of Education, Erode",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Shree Valli College of Education

Itchippalayam

Vaikkalset

Kodumudi

Erode",638 151,Erode,Erode,null,null,B.Ed. - Education
841,P.S.V. College of Engineering and Technology,Anna University - Coimbatore,"P.S.V. College of Engineering and Technology, Krishnagiri",Engineering,AICTE,1961,Anna University - Coimbatore,2008,Co-Education,Self Finance,"P.S.V. College of Engineering and Technology,

Mittapalli,

Balinayanapalli (P.O),

Elathagiri,

Krishnagiri.",635 108,Krishnagiri,Krishnagiri,04343268333,04343268464,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
