_id,CollegeName,university,col-list,CollegeCategory,ApprovedBy,CollegeCode,AffiliatedUniversity,EstablishedYear,CollegeType,InstitutionType,Address,PinCode,Location,District,ContactNumber1,ContactNumber2,Courses
178,Manonmaniam Sundarnar University,Manonmaniam Sundaranar University,"Manonmaniam Sundarnar University, Tirunelveli",Teacher Education,NCTE,null,Manonmaniam Sundaranar University,2006,Co-Education,Self Finance,"Manonmaniam Sundarnar University

Abishekapatti

Tirunelveli",627 012,Tirunelveli,Tirunelveli,null,null,M.Ed. - Education
179,Marudupandiyar College of Education,Tamil Nadu Teachers Education University,"Marudupandiyar College of Education, Vallam, Thanjavur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Marudupandiyar College of Education

No.257/3, Trichy Main Road

Vallam",613 403,Vallam,Thanjavur,null,null,B.Ed. - Education
180,J.A.S. College of Education,Tamil Nadu Teachers Education University,"J.A.S. College of Education, Coimbatore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,null,Co-Education,Self Finance,"J.A.S. College of Education

No.79, Athipalayam Road

Chinnavedampatty

Coimbatore",641 006,Coimbatore,Coimbatore,null,null,B.Ed. - Education
181,Siddhartha College of Teacher Education,Tamil Nadu Teachers Education University,"Siddhartha College of Teacher Education, Kanyakumari",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Siddhartha College of Teacher Education

Manjalumoodu

Kuzhithurai (Via)

Kanyakumari",629 151,Kanyakumari,Kanyakumari,null,null,B.Ed. - Education
182,Saveetha University (Saveetha Medical College and Hospital),Deemed University,"Saveetha University (Saveetha Medical College and Hospital), Sriperumbudur, Kanchipuram",Medical,MCI,null,Deemed University,2008,Co-Education,Self Finance,"Saveetha University (Saveetha Medical College and Hospital)

Saveetha Nagar

Thandalam Post

Sriperumbudur 

Kanchipuram",602 105,Sriperumbudur,Kanchipuram,044 - 2681 1299,044 -  2981 0299,M.B.B.S. - Medicine and Surgery
183,Sree Abirami College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Sree Abirami College of Nursing, Coimbatore",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2008,Co-Education,Self Finance,"Sree Abirami College of Nursing

No.33, Madukkarai Road

Sundarapuram

Coimbatore",641 024,Coimbatore,Coimbatore,null,null,B.Sc. - Nursing
184,O.P.R. Memorial College of Education,Tamil Nadu Teachers Education University,"O.P.R. Memorial College of Education, Vadalur, Cuddalore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"O.P.R. Memorial College of Education

Sudha Sanmarga Nilayam

Neyveli Main Road

Vadalur",607 303,Vadalur,Cuddalore,null,null,"B.Ed. - Education,M.Ed. - Education"
185,Mayor Radhakrishnan College of Pharmacy,Tamil Nadu Dr. M.G.R. Medical University,"Mayor Radhakrishnan College of Pharmacy, Cuddalore",Pharmacy,PCI,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"Mayor Radhakrishnan College of Pharmacy

No.5/3, Judge Bunglow Road

Cuddalore",607 001,Cuddalore,Cuddalore,null,null,D.Pharm. - Pharmacy
186,"University College of Engineering,Tindivanam",Anna University,"University College of Engineering,Tindivanam, Tindivanam, Villupuram",Engineering,AICTE,1014,Anna University,2008,Co-Education,Government,"University College of Engineering, Tindivanam,

Saram,

Tindivanam,

Villupuram.",,Tindivanam,Villupuram,04147238477,null,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Civil Engineering - Tamil Medium,B.E. - Computer Science and Engineering,B.E. - Electronics and Communication Engineering"
187,Sri Bharathi Engineering College for Women,Anna University - Trichy,"Sri Bharathi Engineering College for Women, Pudukkottai, Pudukottai",Engineering,AICTE,3852,Anna University - Trichy,2009,Womens,Self Finance,"Sri Bharathi Engineering College for Women,

Kaikkuruchi Village,

Alangudi,

Pudukkottai.",622 303,Pudukkottai,Pudukottai,04322221937,null,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
188,Coimbatore Aeronautical College,Anna University,"Coimbatore Aeronautical College, Othakkal Mandapam, Coimbatore",Engineering,null,null,Anna University,2001,Co-Education,Self Finance,"Coimbatore Aeronautical College,

298,Pollachi Main Road,

Myleripalayam,

Othakalmandapam,

Coimbatore.",641 402,Othakkal Mandapam,Coimbatore,"0422 - 2611123,",0422- 2612200,[
189,P.S.G. Ponnammal College of Education,Tamil Nadu Teachers Education University,"P.S.G. Ponnammal College of Education, Kangeayam, Erode",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"P.S.G. Ponnammal College of Education

No.14/58, 60, Kovai Road

Kangayam

Kangayam",638 701,Kangeayam,Erode,null,null,B.Ed. - Education
190,Immanuel Arasar B.Ed. College,Tamil Nadu Teachers Education University,"Immanuel Arasar B.Ed. College, Marthandam, Kanyakumari",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Immanuel Arasar B.Ed. College

Edavilagam Nattalam

Vilavancode

Marthandam",629 165,Marthandam,Kanyakumari,null,null,B.Ed. - Education
191,Arasan Ganesan College of Education,Tamil Nadu Teachers Education University,"Arasan Ganesan College of Education, Sivakasi, Virudhunagar",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"Arasan Ganesan College of Education

No.18, Chairman A.Shanmugam Road

Sivakasi",626 123,Sivakasi,Virudhunagar,null,null,B.Ed. - Education
192,Christian College of Education,Tamil Nadu Teachers Education University,"Christian College of Education, Kanyakumari",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Christian College of Education

Kallukottam

Kallukottam Post

Kanyakumari",629 810,Kanyakumari,Kanyakumari,null,null,B.Ed. - Education
193,Adhiparasakthi Dental College and Hospital,Tamil Nadu Dr. M.G.R. Medical University,"Adhiparasakthi Dental College and Hospital, Melmaruvathur, Kanchipuram",Dental,DCI,null,Tamil Nadu Dr. M.G.R. Medical University,2005,Co-Education,Self Finance,"Adhiparasakthi Dental College and Hospital

Melmaruvathur",603 319,Melmaruvathur,Kanchipuram,null,null,B.D.S. - Dental Surgery
194,Shivani Engneering College,Anna University - Trichy,"Shivani Engneering College, Trichy",Engineering,AICTE,3844,Anna University - Trichy,2009,Co-Education,Self Finance,"Shivani Engneering College,

Trichy-Dindigul Main Road,

Ammapettai,

Srirangam,

Poolangulathupatti,

Trichy.",620 009,Trichy,Trichy,04312914306,null,"B.E. - Civil Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
195,Arulmigu Panruti Ayyan Arts and Science College,Manonmaniam Sundaranar University,"Arulmigu Panruti Ayyan Arts and Science College, Tuticorin",Arts & Science,null,null,Manonmaniam Sundaranar University,2000,Co-Education,Self Finance,"Arulmigu Panruti Ayyan Arts and Science College

Vagaikulam

Nanguneri

Tuticorin",627 108,Tuticorin,Tuticorin,null,null,"B.Sc. - Bio-Technology,B.Sc. - Computer Science,B.Sc. - Information Technology,B.Sc. - Microbiology,B.Sc. - Physics,B.Com. - (Regular),M.Sc. - Bio-Technology,M.Sc. - Software Systems (Integrated )"
196,Kamalakshi Pandurangan College of Pharmacy,Tamil Nadu Dr. M.G.R. Medical University,"Kamalakshi Pandurangan College of Pharmacy, Tiruvannamalai, Tiruvanamalai",Pharmacy,AICTE and PCI,null,Tamil Nadu Dr. M.G.R. Medical University,null,Co-Education,Self Finance,"Kamalakshi Pandurangan College of Pharmacy

No.37-A, Ayyakannu

Manduli Street

Tiruvannamalai",,Tiruvannamalai,Tiruvanamalai,null,null,"B.Pharm. - Pharmacy,D.Pharm. - Pharmacy"
197,Sri Vasavi College,Bharathiyar University,"Sri Vasavi College, Erode",Arts & Science,null,null,Bharathiyar University,1967,Co-Education,Self Finance,"Sri Vasavi College

Vasavi College (P.O)

Erode",638 316,Erode,Erode,null,null,"B.Sc. - Bio-Technology,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Electronics,B.Sc. - Fashion Technology,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Textile & Fashion Designing,B.Sc. - Zoology,B.Com. - (Regular),B.Com. - Computer Application,B.Com. - Corporate Secretaryship,B.C.A. - Computer Application,B.B.M. - Business Management,B.B.A. - Business Administration,B.A. - Corporate Secretaryship,B.A. - Economics,B.A. - History,M.Sc. - Applied Electronics,M.Sc. - Computer Science,M.Sc. - Mathematics,M.Sc. - Zoology,M.Com. - (Regular),M.Com. - Computer Applications,M.A. - History,Ph.D. - Business Management,Ph.D. - Commerce,Ph.D. - Economics,Ph.D. - History,Ph.D. - Mathematics,Ph.D. - Tamil,Ph.D. - Zoology,M.Phil. - Commerce,M.Phil. - Computer Science,M.Phil. - Economics,M.Phil. - Electronics,M.Phil. - History,M.Phil. - Mathematics,M.Phil. - Tamil,M.Phil. - Zoology"
198,Jothi College,Tiruvalluvar University,"Jothi College, Vellore",Arts & Science,null,null,Tiruvalluvar University,null,Co-Education,Self Finance,"Jothi College

Vallimalai Road

Katpadi

Vellore",632 006,Vellore,Vellore,null,null,"B.Sc. - Computer Science,B.Sc. - Mathematics,B.Com. - (Regular),B.C.A. - Computer Application,B.B.A. - Business Administration"
199,Thirumalai Engineering College,Anna University,"Thirumalai Engineering College, Kanchipuram",Engineering,AICTE,1517,Anna University,1999,Co-Education,Self Finance,"Thirumalai Engineering College,

Kilambi Village,

Krishnapuram,

Kanchipuram.",631 551,Kanchipuram,Kanchipuram,044-27277898,044-27277866,"B.Tech. - Chemical Engineering,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
200,V.S. Isaac College of Education,Tamil Nadu Teachers Education University,"V.S. Isaac College of Education, Arakkonam, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"V.S. Isaac College of Education

No.126, Attupakkam Village

Arakkonam",631 051,Arakkonam,Vellore,null,null,B.Ed. - Education
201,Kanchi College of Teacher Education,Tamil Nadu Teachers Education University,"Kanchi College of Teacher Education, Kanchipuram",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2007,Co-Education,Self Finance,"Kanchi College of Teacher Education

Karaipettai

Kanchipuram",631 552,Kanchipuram,Kanchipuram,null,null,B.Ed. - Education
202,Dr. Nalini Institute of Engineering and Technology,Anna University - Coimbatore,"Dr. Nalini Institute of Engineering and Technology, Dharapuram, Tirupur",Engineering,AICTE,2771,Anna University - Coimbatore,2009,Co-Education,Self Finance,"Dr. Nalini Institute of Engineering and Technology,

No. 68, Ram Nagar,

Palani Road,

Achiyur Post,

Dharapuram,

Tiruppur.",638 673,Dharapuram,Tirupur,04258221605,null,"B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
203,Maamallan Institute of Technology,Anna University,"Maamallan Institute of Technology, Sriperambudur, Kanchipuram",Engineering,null,null,Anna University,null,Co-Education,Self Finance,"Maamallan Institute Of Technology,

Maamallan Nagar, 

Vadamangalam,

Sriperumpudur, 

Kanchipuram.",602 105,Sriperambudur,Kanchipuram,044 - 27107071,044 - 27163667,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,M.C.A. - Computer Application,M.B.A. - Business Administration"
204,Thanthai Roever College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Thanthai Roever College of Nursing, Perambalur",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,null,Womens,Self Finance,"Thanthai Roever College of Nursing

Perumbalur",621 212,Perambalur,Perambalur,null,null,B.Sc. - Nursing
205,Sri Santhoshi College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"Sri Santhoshi College of Nursing, Maduranthakam, Kanchipuram",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,2008,Co-Education,Self Finance,"Sri Santhoshi College of Nursing

Pyambade

Maduranthakam",,Maduranthakam,Kanchipuram,null,null,B.Sc. - Nursing
206,Lord Venkateshwara Engineering College,Anna University,"Lord Venkateshwara Engineering College, Walajabad, Kanchipuram",Engineering,AICTE,1205,Anna University,2001,Co-Education,Self Finance,"Lord Venkateshwara Engineering College,

Pulliyampakkam Village,

Walajabad Post,

Kanchipuram.",631 605,Walajabad,Kanchipuram,044 - 27258047,044 - 27258050,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
207,Meenakshi College for Women,University of Madras,"Meenakshi College for Women, Chennai",Arts & Science,null,null,University of Madras,1975,Womens,Aided,"Meenakshi College for Women,

363, Arcot Road,

Kodambakkam,

Chennai",600 024,Chennai,Chennai,null,null,[
208,V.S. Isaac College of Education,Tamil Nadu Teachers Education University,"V.S. Isaac College of Education, Arakkonam, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2004,Co-Education,Self Finance,"V.S. Isaac College of Education

No.171, Kannan Nagar

Winterpet

Arakkonam",631 056,Arakkonam,Vellore,null,null,B.Ed. - Education
209,Servite College of Education,Tamil Nadu Teachers Education University,"Servite College of Education, Karur",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Servite College of Education

Thetkuppalam

Thogamalai Post

Karur",621 313,Karur,Karur,null,null,B.Ed. - Education
210,K.C.S. Kasi Nadar College of Arts and Science,University of Madras,"K.C.S. Kasi Nadar College of Arts and Science, Chennai",Arts & Science,null,null,University of Madras,1990,Co-Education,Self Finance,"K.C.S. Kasi Nadar College of Arts and Science

No.99, Ellaya Mudali Street

R.K. Nagar

Chennai",600 021,Chennai,Chennai,null,null,"B.Sc. - Computer Science,B.Sc. - Microbiology,B.Com. - (Regular),B.Com. - Corporate Secretaryship,B.C.A. - Computer Application,B.A. - Corporate Secretaryship"
211,Annai Mathammal Sheela College of Education,Tamil Nadu Teachers Education University,"Annai Mathammal Sheela College of Education, Namakkal",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Annai Mathammal Sheela College of Education

Erumapatty Post

Namakkal",637 013,Namakkal,Namakkal,null,null,B.Ed. - Education
212,Imayam College of Education,Tamil Nadu Teachers Education University,"Imayam College of Education, Trichy",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2006,Co-Education,Self Finance,"Imayam College of Education

Vadakkuvali Village

Kannanur

Thuraiyur

Trichy",621 206,Trichy,Trichy,null,null,B.Ed. - Education
213,St. Joseph College of Engineering,Anna University,"St. Joseph College of Engineering, Sriperumpudur, Kanchipuram",Engineering,AICTE,1325,Anna University,2008,Co-Education,Self Finance,"St. Joseph College of Engineering,

Trinity Campus,

Beemanthangal,

Nemili,

Pennalur,

Sriperumpudur.",602 105,Sriperumpudur,Kanchipuram,04427107072,04427107696,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
214,Royal College of Education,Tamil Nadu Teachers Education University,"Royal College of Education, Thirukkialukundram, Kanchipuram",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Royal College of Education

East Coast Road

Poonjeri Village

Thirukkialukundram",603 104,Thirukkialukundram,Kanchipuram,null,null,B.Ed. - Education
215,"Anna University Tiruchirappali, Thirukkuvalai",Anna University - Trichy,"Anna University Tiruchirappali, Thirukkuvalai, Nagapatinam, Nagapattinam",Engineering,AICTE,3018,Anna University - Trichy,2008,Co-Education,Government,"Anna University Tiruchirappali, Thirukkuvalai Campus,

Thirukkuvalai,

Nagapatinam.",610 204,Nagapatinam,Nagapattinam,04366245234,null,"B.E. - Civil Engineering,B.E. - Civil Engineering - Tamil Medium,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,B.E. - Mechanical Engineering - Tamil Medium"
216,Mercury College of Arts and Science,Tiruvalluvar University,"Mercury College of Arts and Science, Vellore",Arts & Science,null,null,Tiruvalluvar University,2000,Co-Education,Self Finance,"Mercury College of Arts and Science

Kumunnipet

Thandalam

Arakonam",631 003,Vellore,Vellore,null,null,"B.Sc. - Computer Science,B.Com. - (Regular),B.C.S. - Corporate Secretaryship,B.C.A. - Computer Application,B.B.A. - Business Administration"
217,J.J. College of Education,Tamil Nadu Teachers Education University,"J.J. College of Education, Trichy",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"J.J. College of Education

Anantha Buildings

Madurai Road

Trichy",620 008,Trichy,Trichy,null,null,B.Ed. - Education
218,A.M.E.S. College of Education,Tamil Nadu Teachers Education University,"A.M.E.S. College of Education, Ambur, Vellore",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2008,Co-Education,Self Finance,"A.M.E.S. College of Education

Reddythippu

Ambur",635 802,Ambur,Vellore,null,null,B.Ed. - Education
219,Thiru Govindasamy Government Arts College,Tiruvalluvar University,"Thiru Govindasamy Government Arts College, Villupuram",Arts & Science,null,null,Tiruvalluvar University,1969,Co-Education,Government,"Thiru Govindasamy Government Arts College

Tindivanam,Villupuram.",604 002,Villupuram,Villupuram,null,null,"B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Geology,B.Sc. - Mathematics,B.Sc. - Physics,B.Com. - (Regular),B.A. - English,B.A. - History,M.Sc. - Mathematics,M.Sc. - Physics"
220,Bharathi College of Education,Tamil Nadu Teachers Education University,"Bharathi College of Education, Villupuram",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"Bharathi College of Education

Near Power Office

Salem Chennai Main Road

Chinnasalem

Villupuram",606 201,Villupuram,Villupuram,null,null,B.Ed. - Education
221,Sattanatha Karaiyalar College,Manonmaniam Sundaranar University,"Sattanatha Karaiyalar College, Tenkasi, Tirunelveli",Arts & Science,null,null,Manonmaniam Sundaranar University,null,Co-Education,Self Finance,"Sattanatha Karaiyalar College

Tenkasi",,Tenkasi,Tirunelveli,null,null,"B.Sc. - Bio-Chemistry,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Home Science,B.Sc. - Microbiology,B.Com. - (Regular)"
222,Mohamed Sathak A.J. College of Engineering,Anna University,"Mohamed Sathak A.J. College of Engineering, Chennai",Engineering,AICTE,1301,Anna University,2001,Co-Education,Self Finance,"Mohamed Sathak A.J. College of Engineering,

Old Mahabalipuram Road,

Egattur Village,

Kelambakkam Post,

Chengelpet,

Chennai.",603 103,Chennai,Chennai,04114 - 235761,04114 - 235763,"B.Tech. - Information Technology,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
223,Quaid-e-Millet Government Arts College for Women (Autonomous),University of Madras,"Quaid-e-Millet Government Arts College for Women (Autonomous), Chennai",Arts & Science,NAAC,null,University of Madras,1974,Womens,Government,"Quaid-e-Millet Government Arts College for Women (Autonomous)

Anna salai

Chennai",600 002,Chennai,Chennai,null,null,"B.Sc. - Botany,B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Mathematics,B.Sc. - Nutrition & Dietetics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.A. - Economics,B.A. - English,B.A. - History,B.A. - Tamil,M.Phil. - History"
224,K.M.C.H. College of Nursing,Tamil Nadu Dr. M.G.R. Medical University,"K.M.C.H. College of Nursing, Coimbatore",Nursing,INC,null,Tamil Nadu Dr. M.G.R. Medical University,null,Womens,Self Finance,"K.M.C.H. College of Nursing

K.M.C.H.Campus

P.B.No: 3209

Avinashi Road

Coimbatore",641 014,Coimbatore,Coimbatore,null,null,"B.Sc. - Nursing,M.Sc. - Community Health Nursing,M.Sc. - Medical Surgical Nursing,M.Sc. - Obstretics and Gynaecology Nursing,M.Sc. - Paediatric Nursing"
225,"University Departments of Anna University Chennai, MIT Campus",Anna University,"University Departments of Anna University Chennai, MIT Campus, Chennai",Engineering,AICTE,1004,Anna University,1949,Co-Education,Government,"University Departments of Anna University Chennai, MIT Campus,

Madras Institute of Technology,

Chromepet,

Tambaram,

Chennai",600 044,Chennai,Chennai,04422516001,04422516000,"B.Tech. - Information Technology,B.Tech. - Rubber and Plastic Technology,B.E. - Aeronautical Engineering,B.E. - Automobile Engineering,B.E. - Computer Science and Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Production Engineering,M.Tech. - Information Technology,M.E. - Aeronautical Engineering,M.E. - Automobile Engineering,M.E. - Avionics,M.E. - Communication and Networking,M.E. - Instrumentation Engineering,M.E. - Manufacturing Engineering,M.E. - Mechatronics"
226,Chettinad University (Chettinad Dental College and Research Institute),Deemed University,"Chettinad University (Chettinad Dental College and Research Institute), Kelambakkam, Kanchipuram",Dental,DCI,null,Deemed University,2007,Co-Education,Self Finance,"Chettinad University (Chettinad Dental College and Research Institute)

Rajiv Gandhi Salai

Kelambakkam",603 103,Kelambakkam,Kanchipuram,null,null,B.D.S. - Dental Surgery
227,Sri Venkateswara College of Engineering,Anna University,"Sri Venkateswara College of Engineering, Sriperambudur, Kanchipuram",Engineering,"AICTE ,NAAC",1219,Anna University,1985,Co-Education,Self Finance,"Sri Venkateswara College of Engineering,

Post Bag No.3,

Chennai - Bangalore Highways Road,

Pennalur Village,

Sriperumbudur,

Kanchipuram.",602 105,Sriperambudur,Kanchipuram,044-27152000,044-27163784,"B.Tech. - Bio Technology,B.Tech. - Chemical Engineering,B.Tech. - Information Technology,B.E. - Automobile Engineering,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Marine Engineering,B.E. - Mechanical Engineering,M.E. - Communication Systems,M.E. - Computer Aided Design,M.E. - Computer Science and Engineering,M.E. - Power Electronics and Drives,M.E. - Thermal Engineering"
228,"SASTRA University (Shanmugha Arts, Science, Technology and Research Academy)",Deemed University,"SASTRA University (Shanmugha Arts, Science, Technology and Research Academy), Thanjavur",Engineering,"NAAC,UGC",null,Deemed University,1984,Co-Education,Self Finance,"SASTRA University (Shanmugha Arts, Science, Technology and Research Academy)

Tirumalaisamudram

Thanjavur",613 402,Thanjavur,Thanjavur,null,null,"B.Tech. - Bio Informatics Engineering,B.Tech. - Bio Technology,B.Tech. - Chemical Engineering,B.Tech. - Information Technology,B.E. - Bio-Medical Engineering,B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Electronics And Instrumentation Engineering,B.E. - Mechanical Engineering,B.E. - Mechatronics Engineering,M.Tech. - Bio-Informatics,M.Tech. - Bio-Medical Engineering,M.Tech. - Bio-Technology,M.Tech. - Chemical Engineering,M.E. - Computer Integrated Manufacturing,M.E. - Computer Science and Engineering,M.E. - Construction Engineering and Management,M.E. - Control & Instrumentation Engineering,M.E. - Embedded Systems Technology,M.E. - Environmental Engineering,M.E. - High Voltage Engineering,M.E. - Highway and Transport Management,M.E. - Hydrology and Water Resources Engineering,M.E. - Mechatronics,M.E. - Power Electronics and Drives,M.E. - Power Systems Engineering,M.E. - Structural Engineering,M.E. - Thermal Engineering,M.E. - VLSI Design"
229,The Kavery College of Education,Tamil Nadu Teachers Education University,"The Kavery College of Education, Mettur, Salem",Teacher Education,NCTE,null,Tamil Nadu Teachers Education University,2005,Co-Education,Self Finance,"The Kavery College of Education

M.Kalipatti (P.O)

Mecheri

Mettur",636 453,Mettur,Salem,null,null,B.Ed. - Education
230,"Anna University Tiruchirappalli, Dindigul",Anna University - Trichy,"Anna University Tiruchirappalli, Dindigul, Dindigul",Engineering,AICTE,3022,Anna University - Trichy,2009,Co-Education,Government,"Anna University Tiruchirappalli, Dindigul Campus,

22, A/1,Thadikombu Road,

Dindigul.",624 001,Dindigul,Dindigul,04512420666,null,"B.E. - Civil Engineering,B.E. - Civil Engineering - Tamil Medium,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering,B.E. - Mechanical Engineering - Tamil Medium"
231,S.B.K. College,Madurai Kamaraj University,"S.B.K. College, Virudhunagar",Arts & Science,NAAC,null,Madurai Kamaraj University,1970,Co-Education,Aided,"S.B.K. College

Saiva Bhanu Kshatriya College

Aruppukottai",626 101,Virudhunagar,Virudhunagar,null,null,"B.Sc. - Chemistry,B.Sc. - Computer Science,B.Sc. - Information Technology,B.Sc. - Mathematics,B.Sc. - Physics,B.Sc. - Zoology,B.Com. - (Regular),B.Com. - Computer Application,B.C.A. - Computer Application,B.A. - English,B.A. - History,M.Sc. - Chemistry,M.Sc. - Mathematics,M.Sc. - Physics,M.Com. - (Regular),M.Com. - Computer Applications,P.G.D.C.A - Computer Applications,M.Phil. - Commerce,M.Phil. - Mathematics"
232,C.S.I. Engineering College,Anna University - Coimbatore,"C.S.I. Engineering College, Ketti, Nilgiris",Engineering,AICTE,null,Anna University - Coimbatore,1998,Co-Education,Self Finance,"C.S.I. Engineering College,

Santhoor Village,

Ketti Post,

Coonoor,

Nilgiris,",643 215,Ketti,Nilgiris,0423-2517474,0423-2517581,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
233,Varuvan Vadivelan Institute of Technology,Anna University,"Varuvan Vadivelan Institute of Technology, Dharmapuri",Engineering,AICTE,2641,Anna University,2008,Co-Education,Self Finance,"Varuvan Vadivelan Institute of Technology,

Nallanahalli,

Opp.TamilNadu Vetrinary University Research Centre,

Dharmapuri.",636 703,Dharmapuri,Dharmapuri,04342288777,0434288999,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering"
234,N.S.N. College of Engineering and Technology,Anna University,"N.S.N. College of Engineering and Technology, Karur",Engineering,AICTE,2327,Anna University,2011,Co-Education,Self Finance,"N.S.N. College of Engineering and Technology,

N.S.N. Kalvi Nagar,

Karur - Madurai National Highways,

Manalmedu,

Karur.",639 003,Karur,Karur,04324 - 293 999,99524 32017,"B.E. - Civil Engineering,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
235,K.R.S. Pallavan College of Pharmacy,Tamil Nadu Dr. M.G.R. Medical University,"K.R.S. Pallavan College of Pharmacy, Sriperambudur, Kanchipuram",Pharmacy,AICTE and PCI,null,Tamil Nadu Dr. M.G.R. Medical University,2007,Co-Education,Self Finance,"K.R.S. Pallavan College of Pharmacy

Mannur Village

Valapuram Post

Sriperumbudur",602 105,Sriperambudur,Kanchipuram,null,null,B.Pharm. - Pharmacy
236,Kanchi Pallavan Engineering College,Anna University,"Kanchi Pallavan Engineering College, Kanchipuram",Engineering,AICTE,1208,Anna University,2001,Co-Education,Self Finance,"Kanchi Pallavan Engineering College,

Kolivakkam,

Iyyengarkulam Post,

Kanchipuram.",631 502,Kanchipuram,Kanchipuram,04112 - 242223,null,"B.Tech. - Information Technology,B.E. - Computer Science and Engineering,B.E. - Electrical and Electronics Engineering,B.E. - Electronics and Communication Engineering,B.E. - Mechanical Engineering"
